listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
6369,2021-07-18,True,60.0,60.0,1.0,1125.0
6369,2021-07-19,True,60.0,60.0,1.0,1125.0
6369,2021-07-20,True,60.0,60.0,1.0,1125.0
6369,2021-07-21,True,60.0,60.0,1.0,1125.0
6369,2021-07-22,True,60.0,60.0,1.0,1125.0
6369,2021-07-23,True,60.0,60.0,1.0,1125.0
6369,2021-07-24,True,60.0,60.0,1.0,1125.0
6369,2021-07-25,True,60.0,60.0,1.0,1125.0
6369,2021-07-26,True,60.0,60.0,1.0,1125.0
6369,2021-07-27,True,60.0,60.0,1.0,1125.0
6369,2021-07-28,True,60.0,60.0,1.0,1125.0
6369,2021-07-29,True,60.0,60.0,1.0,1125.0
6369,2021-07-30,True,60.0,60.0,1.0,1125.0
6369,2021-07-31,True,60.0,60.0,1.0,1125.0
6369,2021-08-01,True,60.0,60.0,1.0,1125.0
6369,2021-08-02,True,60.0,60.0,1.0,1125.0
6369,2021-08-03,True,60.0,60.0,1.0,1125.0
6369,2021-08-04,True,60.0,60.0,1.0,1125.0
6369,2021-08-05,True,60.0,60.0,1.0,1125.0
6369,2021-08-06,True,60.0,60.0,1.0,1125.0
6369,2021-08-07,True,60.0,60.0,1.0,1125.0
6369,2021-08-08,True,60.0,60.0,1.0,1125.0
6369,2021-08-09,True,60.0,60.0,1.0,1125.0
6369,2021-08-10,True,60.0,60.0,1.0,1125.0
6369,2021-08-11,True,60.0,60.0,1.0,1125.0
6369,2021-08-12,True,60.0,60.0,1.0,1125.0
6369,2021-08-13,True,60.0,60.0,1.0,1125.0
6369,2021-08-14,True,60.0,60.0,1.0,1125.0
6369,2021-08-15,True,60.0,60.0,1.0,1125.0
6369,2021-08-16,True,60.0,60.0,1.0,1125.0
6369,2021-08-17,True,60.0,60.0,1.0,1125.0
6369,2021-08-18,True,60.0,60.0,1.0,1125.0
6369,2021-08-19,True,60.0,60.0,1.0,1125.0
6369,2021-08-20,True,60.0,60.0,1.0,1125.0
6369,2021-08-21,True,60.0,60.0,1.0,1125.0
6369,2021-08-22,True,60.0,60.0,1.0,1125.0
6369,2021-08-23,True,60.0,60.0,1.0,1125.0
6369,2021-08-24,True,60.0,60.0,1.0,1125.0
6369,2021-08-25,True,60.0,60.0,1.0,1125.0
6369,2021-08-26,True,60.0,60.0,1.0,1125.0
6369,2021-08-27,True,60.0,60.0,1.0,1125.0
6369,2021-08-28,True,60.0,60.0,1.0,1125.0
6369,2021-08-29,True,60.0,60.0,1.0,1125.0
6369,2021-08-30,True,60.0,60.0,1.0,1125.0
6369,2021-08-31,True,60.0,60.0,1.0,1125.0
6369,2021-09-01,True,60.0,60.0,1.0,1125.0
6369,2021-09-02,True,60.0,60.0,1.0,1125.0
6369,2021-09-03,True,60.0,60.0,1.0,1125.0
6369,2021-09-04,True,60.0,60.0,1.0,1125.0
